Day,Advances,Declines,Advance_Decline_Ratio,Open,High,Low,Close
14/02/2025,387,"2,455",0.16,23096.45,23133.7,22774.85,22929.25
17/02/2025,914,"1,938",0.47,22809.9,22974.2,22725.45,22959.5
18/02/2025,685,"2,141",0.32,22963.65,22992.5,22801.5,22945.3
19/02/2025,"2,127",700,3.04,22847.25,23049.95,22814.85,22932.9
20/02/2025,"1,992",816,2.44,22821.1,22923.85,22812.75,22913.15
21/02/2025,"1,072","1,755",0.61,22857.2,22921,22720.3,22795.9
24/02/2025,727,"2,132",0.34,22609.35,22668.05,22518.8,22553.35
25/02/2025,"1,081","1,732",0.62,22516.45,22625.3,22513.9,22547.55
27/02/2025,534,"2,308",0.23,22568.95,22613.3,22508.4,22545.05
28/02/2025,397,"2,477",0.16,22433.4,22450.35,22104.85,22124.7
